import time: self [us] | cumulative | imported package
import time:       198 |        198 | winreg
import time:       469 |        469 |   _io
import time:        84 |         84 |   marshal
import time:       357 |        357 |   nt
import time:       676 |       1585 | _frozen_importlib_external
import time:       761 |        761 |   time
import time:       210 |        971 | zipimport
import time:       137 |        137 |     _codecs
import time:       525 |        662 |   codecs
import time:      2251 |       2251 |   encodings.aliases
import time:      3273 |       6184 | encodings
import time:       985 |        985 | encodings.utf_8
import time:       901 |        901 | encodings.cp1252
import time:       119 |        119 | _signal
import time:        67 |         67 |     _abc
import time:       222 |        288 |   abc
import time:       247 |        535 | io
import time:        89 |         89 |       _stat
import time:       163 |        251 |     stat
import time:       860 |        860 |     _collections_abc
import time:        70 |         70 |       genericpath
import time:       124 |        124 |       _winapi
import time:       463 |        656 |     ntpath
import time:       409 |       2175 |   os
import time:       117 |        117 |   _sitebuiltins
import time:      2544 |       2544 |   _virtualenv
import time:      1169 |       1169 |   _distutils_hack
import time:       419 |        419 |   sitecustomize
import time:      3063 |       9485 | site
import time:       195 |        195 |         itertools
import time:       923 |        923 |         keyword
import time:       121 |        121 |           _operator
import time:      1178 |       1299 |         operator
import time:       909 |        909 |         reprlib
import time:       134 |        134 |         _collections
import time:      2178 |       5635 |       collections
import time:      1286 |       1286 |       types
import time:       115 |        115 |       _functools
import time:      1849 |       8884 |     functools
import time:      1021 |       1021 |         _ast
import time:      1382 |       1382 |         contextlib
import time:      2200 |       2200 |         enum
import time:      2785 |       7386 |       ast
import time:        70 |         70 |           _opcode
import time:      1398 |       1468 |         opcode
import time:      2062 |       3530 |       dis
import time:       954 |        954 |       collections.abc
import time:      1334 |       1334 |           warnings
import time:      1417 |       2751 |         importlib
import time:       156 |       2906 |       importlib.machinery
import time:       118 |        118 |               _sre
import time:       887 |        887 |                 re._constants
import time:      1070 |       1957 |               re._parser
import time:       781 |        781 |               re._casefix
import time:      1494 |       4348 |             re._compiler
import time:       924 |        924 |             copyreg
import time:      1450 |       6722 |           re
import time:      1373 |       1373 |           token
import time:      2083 |      10176 |         tokenize
import time:       923 |      11099 |       linecache
import time:      3183 |      29055 |     inspect
import time:       140 |        140 |         _struct
import time:      1234 |       1373 |       struct
import time:      1377 |       1377 |       _compat_pickle
import time:       377 |        377 |       _pickle
import time:       687 |        687 |           org
import time:        60 |        747 |         org.python
import time:        53 |        799 |       org.python.core
import time:      2733 |       6658 |     pickle
import time:       665 |        665 |             posix
import time:       162 |        827 |           posixpath
import time:      1083 |       1910 |         fnmatch
import time:       162 |        162 |         errno
import time:       154 |        154 |         zlib
import time:      1474 |       1474 |           _compression
import time:      1513 |       1513 |           _bz2
import time:      1774 |       4760 |         bz2
import time:      1048 |       1048 |           _lzma
import time:      1183 |       2231 |         lzma
